mode,perturbation_type,parse_rate,schema_compliance,macro_f1
repair,none,1.0,1.0,0.9571428571428571
repair,typos,1.0,1.0,0.9148809523809522
repair,unicode_noise,1.0,1.0,0.6952380952380952
repair,distractor,1.0,1.0,0.9571428571428571
repair,prompt_injection,1.0,1.0,0.25714285714285706
repair,contradictory_instruction,1.0,1.0,0.25714285714285706
repair,field_aliasing,1.0,1.0,0.9428571428571427
repair,order_shuffle,1.0,1.0,0.8857142857142852
repair,format_bait,1.0,1.0,0.9571428571428571
repair,long_context_overload,1.0,1.0,0.32748299319727864
