mode,perturbation_type,parse_rate,schema_compliance,macro_f1
vanilla,none,1.0,1.0,0.9571428571428571
vanilla,typos,1.0,1.0,0.9148809523809522
vanilla,unicode_noise,1.0,1.0,0.6952380952380952
vanilla,distractor,1.0,1.0,0.9571428571428571
vanilla,field_aliasing,1.0,1.0,0.9428571428571427
vanilla,order_shuffle,1.0,1.0,0.8857142857142852
vanilla,format_bait,1.0,1.0,0.9571428571428571
vanilla,long_context_overload,1.0,1.0,0.32748299319727864
vanilla,prompt_injection,0.0,0.0,0.0
vanilla,contradictory_instruction,0.0,0.0,0.0
